fname,label
male_266.wav,male female
male_235.wav,male female
male_292.wav,male female
male_332.wav,male female
female_185.wav,female male
male_256.wav,male female
male_304.wav,male female
female_136.wav,female male
female_148.wav,female male
female_197.wav,female male
male_353.wav,male female
male_318.wav,male female
male_347.wav,male female
male_268.wav,male female
male_335.wav,male female
male_274.wav,male female
male_319.wav,male female
female_160.wav,female male
male_286.wav,male female
female_189.wav,female male
male_352.wav,male female
male_308.wav,male female
female_169.wav,female male
male_345.wav,male female
male_243.wav,male female
female_188.wav,female male
male_250.wav,male female
male_290.wav,male female
female_152.wav,female male
male_324.wav,male female
female_154.wav,female male
male_339.wav,female male
female_133.wav,female male
female_173.wav,female male
male_298.wav,male female
female_145.wav,female male
male_278.wav,male female
female_194.wav,female male
female_150.wav,female male
female_181.wav,female male
male_277.wav,male female
female_172.wav,female male
female_141.wav,female male
male_346.wav,male female
male_306.wav,male female
male_310.wav,male female
female_176.wav,female male
female_192.wav,female male
male_325.wav,male female
male_338.wav,male female
male_267.wav,male female
female_146.wav,female male
male_354.wav,male female
male_251.wav,male female
male_280.wav,male female
male_326.wav,male female
male_273.wav,male female
female_166.wav,female male
male_303.wav,male female
male_237.wav,male female
male_317.wav,male female
female_177.wav,female male
male_327.wav,male female
female_167.wav,female male
male_293.wav,male female
male_349.wav,male female
male_289.wav,male female
male_334.wav,male female
male_281.wav,male female
male_342.wav,male female
male_321.wav,male female
male_247.wav,male female
male_253.wav,male female
female_161.wav,female male
male_288.wav,male female
male_320.wav,male female
male_330.wav,female male
male_284.wav,male female
female_180.wav,female male
male_258.wav,male female
male_246.wav,male female
male_261.wav,male female
male_283.wav,male female
female_198.wav,female male
male_269.wav,male female
male_294.wav,female male
male_262.wav,male female
male_302.wav,male female
male_239.wav,male female
female_182.wav,female male
male_344.wav,male female
male_234.wav,male female
male_323.wav,male female
male_259.wav,male female
male_305.wav,male female
male_240.wav,male female
male_291.wav,female male
female_163.wav,female male
male_295.wav,male female
male_336.wav,male female
male_337.wav,male female
male_242.wav,male female
male_255.wav,male female
male_322.wav,male female
male_238.wav,male female
male_232.wav,male female
female_171.wav,male female
female_186.wav,female male
female_174.wav,female male
male_265.wav,male female
male_233.wav,male female
female_158.wav,female male
male_351.wav,male female
male_312.wav,male female
male_244.wav,male female
female_137.wav,female male
male_341.wav,male female
female_193.wav,female male
male_316.wav,male female
female_139.wav,female male
male_297.wav,male female
female_134.wav,female male
male_252.wav,male female
male_270.wav,male female
male_307.wav,male female
female_144.wav,female male
male_313.wav,male female
male_329.wav,male female
male_236.wav,male female
male_343.wav,male female
female_179.wav,female male
female_168.wav,female male
female_153.wav,female male
male_311.wav,male female
female_142.wav,female male
male_299.wav,male female
male_300.wav,male female
female_165.wav,female male
male_328.wav,male female
female_147.wav,female male
female_178.wav,female male
female_183.wav,female male
male_279.wav,male female
female_159.wav,female male
male_271.wav,male female
female_151.wav,female male
male_254.wav,male female
male_287.wav,male female
female_162.wav,female male
male_348.wav,male female
male_314.wav,male female
male_350.wav,male female
female_196.wav,female male
female_175.wav,female male
female_140.wav,female male
male_282.wav,male female
male_275.wav,male female
female_184.wav,female male
male_309.wav,male female
male_245.wav,male female
male_260.wav,male female
male_276.wav,male female
male_331.wav,male female
female_138.wav,female male
female_195.wav,female male
female_143.wav,female male
male_296.wav,male female
male_248.wav,male female
male_285.wav,male female
male_241.wav,male female
female_187.wav,female male
female_156.wav,female male
male_315.wav,male female
male_333.wav,male female
male_249.wav,male female
female_191.wav,female male
female_190.wav,female male
male_340.wav,male female
male_263.wav,male female
female_149.wav,female male
male_272.wav,male female
male_257.wav,male female
female_135.wav,female male
female_164.wav,female male
female_157.wav,female male
male_264.wav,male female
male_301.wav,male female
female_170.wav,female male
female_155.wav,female male
